Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
"Emergence of plasmid-mediated tigecycline resistance tet(X4) gene in Escherichia coli isolated from poultry, food and the environment in South Asia",,10.1016/j.scitotenv.2021.147613,True,Emergence of plasmid-mediated tigecycline resistance tet_X4_ gene in Escherichia coli isolated from poultry_ food and the environment in South Asia.pdf,2021,,Elsevier {BV},True,SciHub,Mashkoor Mohsin and Brekhna Hassan and Willames M.B.S. Martins and Ruichao Li and Sabahat Abdullah and Kirsty Sands and Timothy R. Walsh
Identification and in vitro antimicrobial susceptibility of Staphylococcus species isolated from goat mastitis in the Northeast of Brazil,,10.1016/j.smallrumres.2004.01.001,True,Identification and in vitro antimicrobial susceptibility of Staphylococcus species isolated from goat mastitis in the Northeast of Brazil.pdf,2004,,Elsevier {BV},True,SciHub,Elizabete Rodrigues da Silva and Amanda Pimenta Siqueira and Juliana Cristina Dias Martins and Wender Paulo Barbosa Ferreira and Nivaldo da Silva
"Serotypes, virulence genes profiles and antimicrobial resistance patterns of Escherichia coli recovered from feces of healthy lambs in Mexico",,10.1016/j.smallrumres.2017.05.003,True,Serotypes_ virulence genes profiles and antimicrobial resistance patterns of Escherichia coli recovered from feces of healthy lambs in Mexico.pdf,2017,,Elsevier {BV},True,SciHub,Edgar Enriquez-G{\'{o}}mez and Mart{\'{\i}}n Talavera-Rojas and Edgardo Soriano-Vargas and Armando Navarro-Oca{\~{n}}a and Vicente Vega-S{\'{a}}nchez and Sa{\'{u}}l Aguilar-Montes de Oca and Jorge Acosta-Dibarrat
Activity of bacteriocins synthesized by Bacillus thuringiensis against Staphylococcus aureus isolates associated to bovine mastitis,,10.1016/j.vetmic.2009.03.018,True,Activity of bacteriocins synthesized by Bacillus thuringiensis against Staphylococcus aureus isolates associated to bovine mastitis.pdf,2009,,Elsevier {BV},True,SciHub,Jos{\'{e}} Eleazar Barboza-Corona and Norma de la Fuente-Salcido and Nayeli Alva-Murillo and Alejandra Ochoa-Zarzosa and Joel E. L{\'{o}}pez-Meza
Prevalence and antimicrobial resistance of Campylobacter isolates in broilers from China,,10.1016/j.vetmic.2009.12.035,True,Prevalence and antimicrobial resistance of Campylobacter isolates in broilers from China.pdf,2010,,Elsevier {BV},True,SciHub,Xia Chen and Gao-Wa Naren and Cong-Ming Wu and Yang Wang and Lei Dai and Li-Ning Xia and Peng-Jie Luo and Qijing Zhang and Jian-Zhong Shen
In vivo efficiency evaluation of a phage cocktail in controlling severe colibacillosis in confined conditions and experimental poultry houses,,10.1016/j.vetmic.2010.05.015,True,In vivo efficiency evaluation of a phage cocktail in controlling severe colibacillosis in confined conditions and experimental poultry houses.pdf,2010,,Elsevier {BV},True,SciHub,Ana Oliveira and Rui Sereno and Joana Azeredo
"Prevalence, antibiotic resistance, virulence traits and genetic lineages of Staphylococcus aureus in healthy sheep in Tunisia",,10.1016/j.vetmic.2011.11.009,True,Prevalence_ antibiotic resistance_ virulence traits and genetic lineages of Staphylococcus aureus in healthy sheep in Tunisia.pdf,2012,,Elsevier {BV},True,SciHub,Haythem Gharsa and Karim Ben Slama and Carmen Lozano and Elena G{\'{o}}mez-Sanz and Naouel Klibi and Rym Ben Sallem and Paula G{\'{o}}mez and Myriam Zarazaga and Abdellatif Boudabous and Carmen Torres
"Prevalence and antimicrobial resistance of non-typhoidal Salmonella serotypes isolated from laying hens and broiler chicken farms in N’Djamena, Chad",,10.1016/j.vetmic.2013.05.010,True,Prevalence and antimicrobial resistance of non-typhoidal Salmonella serotypes isolated from laying hens and broiler chicken farms in N_Djamena_ Chad.pdf,2013,,Elsevier {BV},True,SciHub,Djim-adjim Tabo and Colette D. Diguimbaye and Sophie A. Granier and Fr{\'{e}}d{\'{e}}rique Moury and Anne Brisabois and Rachid Elgroud and Yves Millemann
Sheep as an important source of E. coli O157/O157:H7 in Turkey,,10.1016/j.vetmic.2014.06.014,True,Sheep as an important source of E. coli O157_O157_H7 in Turkey.pdf,2014,,Elsevier {BV},True,SciHub,Yilmaz Emre Gencay
Characterization of pig-associated methicillin-resistant Staphylococcus aureus,,10.1016/j.vetmic.2017.01.017,True,Characterization of pig-associated methicillin-resistant Staphylococcus aureus.pdf,2017,,Elsevier {BV},True,SciHub,Jun Li and Nansong Jiang and Yuebin Ke and Andrea T. Fe{\ss}ler and Yang Wang and Stefan Schwarz and Congming Wu
Characterization of NDM-5-positive extensively resistant Escherichia coli isolates from dairy cows,,10.1016/j.vetmic.2017.06.010,True,Characterization of NDM-5-positive extensively resistant Escherichia coli isolates from dairy cows.pdf,2017,,Elsevier {BV},True,SciHub,Tao He and Ruicheng Wei and Lili Zhang and Lichang Sun and Maoda Pang and Ran Wang and Yang Wang
Extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae in local and imported poultry meat in Ghana,,10.1016/j.vetmic.2018.02.023,True,Extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae in local and imported poultry meat in Ghana.pdf,2018,,Elsevier {BV},True,SciHub,Daniel Eibach and Denise Dekker and Kennedy Gyau Boahen and Charity Wiafe Akenten and Nimako Sarpong and Cristina Belmar Campos and Laura Berneking and Martin Aepfelbacher and Ralf Krumkamp and Ellis Owusu-Dabo and JÃ¼rgen May
Antimicrobial usage and presence of extended-spectrum β-lactamase-producing Enterobacteriaceae in animal-rearing households of selected rural and peri-urban communities,,10.1016/j.vetmic.2018.03.013,True,Antimicrobial usage and presence of extended-spectrum β-lactamase-producing Enterobacteriaceae in animal-rearing households of selected rural and peri-urban communities.pdf,2018,,Elsevier {BV},True,SciHub,Evelyn O. Okpara and Olufemi E. Ojo and Olajoju J. Awoyomi and Morenike A. Dipeolu and Mufutau A. Oyekunle and Stefan Schwarz
"Occurrence, genetic characterization and antimicrobial resistance ofSalmonellaisolated from chicken meat and giblets",,10.1017/S0950268814001708,True,Occurrence_ genetic characterization and antimicrobial resistance ofSalmonellaisolated from chicken meat and giblets.pdf,2014,,Cambridge University Press ({CUP}),True,SciHub,S. M. ABD-ELGHANY and K. I. SALLAM and A. ABD-ELKHALEK and T. TAMURA
High levels of contamination and antimicrobial-resistant non-typhoidal Salmonella serovars on pig and poultry farms in the Mekong Delta of Vietnam,,10.1017/S0950268815000102,True,High levels of contamination and antimicrobial-resistant non-typhoidal Salmonella serovars on pig and poultry farms in the Mekong Delta of Vietnam.pdf,2015,,Cambridge University Press ({CUP}),True,SciHub,L. T. P. TU and N. V. M. HOANG and N. V. CUONG and J. CAMPBELL and J. E. BRYANT and N. T. HOA and B. T. KIET and C. THOMPSON and D. T. DUY and V. V. PHAT and V. B. HIEN and G. THWAITES and S. BAKER and J. J. CARRIQUE-MAS
Prevalence and molecular characterization ofSalmonella entericaisolates throughout an integrated broiler supply chain in China,,10.1017/S0950268816001515,True,Prevalence and molecular characterization ofSalmonella entericaisolates throughout an integrated broiler supply chain in China.pdf,2016,,Cambridge University Press ({CUP}),True,SciHub,X. REN and M. LI and C. XU and K. CUI and Z. FENG and Y. FU and J. ZHANG and M. LIAO
,,10.1023/A:1025189204496,False,none.pdf,,,,True,SciHub,
Poultry hatcheries as potential reservoirs for antimicrobial-resistant Escherichia coli: A risk to public health and food safety,,10.1038/s41598-018-23962-7,True,Poultry hatcheries as potential reservoirs for antimicrobial-resistant Escherichia coli_ A risk to public health and food safety.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Kamelia M. Osman and Anthony D. Kappell and Mohamed Elhadidy and Fatma ElMougy and Wafaa A. Abd El-Ghany and Ahmed Orabi and Aymen S. Mubarak and Turki M. Dawoud and Hassan A. Hemeg and Ihab M. I. Moussa and Ashgan M. Hessain and Hend M. Y. Yousef
Prevalence and patterns of antimicrobial resistance among Escherichia coli isolated from Zambian dairy cattle across different production systems,,10.1038/srep12439,True,Prevalence and patterns of antimicrobial resistance among Escherichia coli isolated from Zambian dairy cattle across different production systems.pdf,2015,,Springer Science and Business Media {LLC},True,SciHub,Geoffrey Mainda and Paul R. Bessell and John B. Muma and Sean P. McAteer and Margo E. Chase-Topping and James Gibbons and Mark P. Stevens and David L. Gally and Barend M. deC. Bronsvoort
Characterization of a P1-like bacteriophage carrying CTX-M-27 in Salmonella spp. resistant to third generation cephalosporins isolated from pork in China,,10.1038/srep40710,True,Characterization of a P1-like bacteriophage carrying CTX-M-27 in Salmonella spp. resistant to third generation cephalosporins isolated from pork in China.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Ling Yang and Wan Li and Gui-Ze Jiang and Wen-Hui Zhang and Huan-Zhong Ding and Ya-Hong Liu and Zhen-Ling Zeng and Hong-Xia Jiang
Incidence and antibiotic resistance ofSalmonellaspp. in ground turkey meat,,10.1080/00071660903395379,True,Incidence and antibiotic resistance ofSalmonellaspp. in ground turkey meat.pdf,2010,,Informa {UK} Limited,True,SciHub,O. Iseri and I. Erol
Evaluation of antimicrobial resistance ofCampylobacterspp. isolated from broiler carcasses,,10.1080/00071668.2014.981796,True,Evaluation of antimicrobial resistance ofCampylobacterspp. isolated from broiler carcasses.pdf,2015,,Informa {UK} Limited,True,SciHub,I. D. Ferro and T. M. Benetti and T. C. R. M. Oliveira and W. M. Abrah{\~{a}}o and S. M. S. S. Farah and F. B. Luciano and R. E. F. Macedo
Prevalence of tetracycline resistance determinants in broiler isolatedEscherichia coliin Iran,,10.1080/00071668.2016.1232478,True,Prevalence of tetracycline resistance determinants in broiler isolatedEscherichia coliin Iran.pdf,2016,,Informa {UK} Limited,True,SciHub,S. Seifi and R. Khoshbakht
"Co-infection of methicillin-resistantStaphylococcus epidermidis, methicillin-resistantStaphylococcus aureusand extended spectrumβ-lactamase producingEscherichia coliin bovine mastitis – three cases reported from India",,10.1080/01652176.2014.984365,True,,2014,,Informa {UK} Limited,False,,Samiran Bandyopadhyay and Indranil Samanta and Debaraj Bhattacharyya and Pramod Kumar Nanda and Debasish Kar and Jayanta Chowdhury and Premanshu Dandapat and Arun Kumar Das and Nayan Batul and Bimalendu Mondal and Tapan Kumar Dutta and Gunjan Das and Bikash Chandra Das and Syamal Naskar and Uttam Kumar Bandyopadhyay and Suresh Chandra Das and Subhasish Bandyopadhyay
Distribution ofSalmonellaserovars and antimicrobial susceptibility ofSalmonellaEnteritidis from poultry in Zimbabwe,,10.1080/03079457.2012.667558,True,Distribution ofSalmonellaserovars and antimicrobial susceptibility ofSalmonellaEnteritidis from poultry in Zimbabwe.pdf,2012,,Informa {UK} Limited,True,SciHub,P. V. Makaya and G. Matope and D. M. Pfukenyi
Use of norfloxacin in poultry production in the eastern province of Saudi Arabia and its possible impact on public health,,10.1080/0960312002001483,True,Use of norfloxacin in poultry production in the eastern province of Saudi Arabia and its possible impact on public health.pdf,2000,,Informa {UK} Limited,True,SciHub,Zaki H. Al-Mustafa and Mastour S. Al-Ghamdi
Identification and Antibiogram of Microbes Associated with Bovine Mastitis,,10.1080/10495398.2011.570132,True,Identification and Antibiogram of Microbes Associated with Bovine Mastitis.pdf,2011,,Informa {UK} Limited,True,SciHub,Vaibhav D. Bhatt and Mitisha S. Patel and Chaitanya G. Joshi and Anju Kunjadia
Changes in antimicrobial resistance patterns and dominance of extended spectrum β-lactamase genes among faecal Escherichia coli isolates from broilers and workers during two rearing periods,,10.1080/1828051X.2017.1415703,True,,2017,,Informa {UK} Limited,False,,Fatemeh Doregiraee and Masoud Alebouyeh and Bahar Nayeri Fasaei and Saeed Charkhkar and Elahe Tajeddin and Mohammad Reza Zali
Presence and antimicrobial resistance ofEscherichia coliisolated from foodstuffs in Hidalgo State (Mexico) Presencia y resistencia a antimicrobianos deEscherichia coliaislados a partir de alimentos en el estado de Hidalgo (México),,10.1080/19476330903119234,True,,2010,,Informa {UK} Limited,False,,J. M. Miranda and A. Mondragon and J. A. Rodriguez and M. Guarddon and C. G. Nebot and C. A. Gal{\'{a}}n-Vidal and C. Coronel-Olivares
"Discovery of a mcr-1-bearing plasmid in commensal colistin-resistant Escherichia coli from healthy broilers in Faisalabad, Pakistan",,10.1080/21505594.2018.1462060,True,Discovery of a mcr-1-bearing plasmid in commensal colistin-resistant Escherichia coli from healthy broilers in Faisalabad_ Pakistan.pdf,2018,,Informa {UK} Limited,True,SciHub,Jiali Lv and Mashkoor Mohsin and Sheng Lei and Swaminath Srinivas and Raja Talish Wiqar and Jingxia Lin and Youjun Feng
"Nontyphoidal Salmonella from Human Clinical Cases, Asymptomatic Children, and Raw Retail Meats in Yucatan, Mexico",,10.1086/498508,True,Nontyphoidal Salmonella from Human Clinical Cases_ Asymptomatic Children_ and Raw Retail Meats in Yucatan_ Mexico.pdf,2006,,Oxford University Press ({OUP}),True,SciHub,Mussaret B. Zaidi and Patrick F. McDermott and Paula Fedorka-Cray and Ver{\'{o}}nica Leon and Claudia Canche and Susannah K. Hubert and Jason Abbott and Magda Le{\'{o}}n and Shaohua Zhao and Marcia Headrick and Linda Tollefson
"Prevalence of Antibiotic-resistance Enterobacteriaceae strains Isolated from Chicken Meat at Traditional Markets in Surabaya, Indonesia",,10.1088/1757-899X/193/1/012007,True,Prevalence of Antibiotic-resistance Enterobacteriaceae strains Isolated from Chicken Meat at Traditional Markets in Surabaya_ Indonesia.pdf,2017,,{IOP} Publishing,True,SciHub,R Yulistiani and D Praseptiangga and  Supyani and  Sudibya and D Raharjo and T Shirakawa
Antimicrobial Resistance ofSalmonellaSerotypes Isolated from Slaughter-Age Pigs and Environmental Samples,,10.1089/10766290260469697,True,Antimicrobial Resistance ofSalmonellaSerotypes Isolated from Slaughter-Age Pigs and Environmental Samples.pdf,2002,,Mary Ann Liebert Inc,True,SciHub,Celso Jos{\'{e}} Bruno Oliveira and Luiz Fernando Oliveira Silva Carvalho and Sueli Aparecida Fernandes and Ana Terezinha Tavechio and Claudio Camacho Pereira Menezes and Francisco Jos{\'{e}} Domingues
Prevalence and Diversity of Integrons and Associated Resistance Genes inEscherichia coliIsolates from Poultry Meat in Tunisia,,10.1089/fpd.2009.0284,True,Prevalence and Diversity of Integrons and Associated Resistance Genes inEscherichia coliIsolates from Poultry Meat in Tunisia.pdf,2009,,Mary Ann Liebert Inc,True,SciHub,Leila Soufi and Mohamed Salah Abbassi and Yolanda S{\'{a}}enz and Laura Vinu{\'{e}} and Sergio Somalo and Myriam Zarazaga and Asad Abbas and Rafika Dbaya and Latifa Khanfir and Assia Ben Hassen and Salah Hammami and Carmen Torres
Prevalence of Antimicrobial Resistance Among Salmonella Isolates from Chicken in China,,10.1089/fpd.2010.0605,True,Prevalence of Antimicrobial Resistance Among Salmonella Isolates from Chicken in China.pdf,2011,,Mary Ann Liebert Inc,True,SciHub,Yan Lu and Cong-Ming Wu and Guo-Juan Wu and Hong-Yu Zhao and Tao He and Xing-Yuan Cao and Lei Dai and Li-Ning Xia and Shang-Shang Qin and Jian-Zhong Shen
"Prevalence ofSalmonellaSerovars and Antimicrobial Resistance Profiles in Poultry of Savar Area, Bangladesh",,10.1089/fpd.2011.0917,True,Prevalence ofSalmonellaSerovars and Antimicrobial Resistance Profiles in Poultry of Savar Area_ Bangladesh.pdf,2011,,Mary Ann Liebert Inc,True,SciHub,Md. Showkat Mahmud and Md. Latiful Bari and M. Anwar Hossain
Prevalence and Antimicrobial Susceptibility ofCampylobacterspp. in Live and Dressed Chicken in Jordan,,10.1089/fpd.2011.0953,True,Prevalence and Antimicrobial Susceptibility ofCampylobacterspp. in Live and Dressed Chicken in Jordan.pdf,2012,,Mary Ann Liebert Inc,True,SciHub,Tareq M. Osaili and Akram R. Alaboudi and Rani R. Al-Akhras
Antimicrobial Susceptibility Testing and Genotypic Characterization ofStaphylococcus aureusfrom Food and Food Animals,,10.1089/fpd.2011.0987,True,Antimicrobial Susceptibility Testing and Genotypic Characterization ofStaphylococcus aureusfrom Food and Food Animals.pdf,2012,,Mary Ann Liebert Inc,True,SciHub,Xin Wang and Jianghong Meng and Ting Zhou and Yanming Zhang and Baowei Yang and Meili Xi and Jinling Sheng and Shuai Zhi and Xiaodong Xia
"Characterization ofSalmonella entericaand Detection of the Virulence Genes Specific to DiarrheagenicEscherichia colifrom Poultry Carcasses in Ouagadougou, Burkina Faso",,10.1089/fpd.2011.1071,True,Characterization ofSalmonella entericaand Detection of the Virulence Genes Specific to DiarrheagenicEscherichia colifrom Poultry Carcasses in Ouagadougou_ Burkina Faso.pdf,2012,,Mary Ann Liebert Inc,True,SciHub,Ass{\`{e}}ta Kagamb{\`{e}}ga and Nicolas Barro and Alfred S. Traor{\'{e}} and Anja Siitonen and Kaisa Haukka
Shiga Toxigenic and Atypical EnteropathogenicEscherichia coliin the Feces and Carcasses of Slaughtered Pigs,,10.1089/fpd.2012.1206,True,Shiga Toxigenic and Atypical EnteropathogenicEscherichia coliin the Feces and Carcasses of Slaughtered Pigs.pdf,2012,,Mary Ann Liebert Inc,True,SciHub,Clarissa Ara{\'{u}}jo Borges and L{\'{\i}}via Gerbasi Beraldo and Renato Pariz Maluta and Marita Vedovelli Cardozo and Beatriz Ernestina Cabilio Guth and Everlon Cid Rigobelo and Fernando Ant{\^{o}}nio de {\'{A}}vila
Characterization of Salmonella Food Isolates with Concurrent Resistance to Ceftriaxone and Ciprofloxacin,,10.1089/fpd.2012.1266,True,Characterization of Salmonella Food Isolates with Concurrent Resistance to Ceftriaxone and Ciprofloxacin.pdf,2013,,Mary Ann Liebert Inc,True,SciHub,Marcus Ho Yin Wong and Li Zeng and Jian Hua Liu and Sheng Chen
Prevalence and Characterization of Extended-Spectrum Beta-Lactamase (ESBL)– and CMY-2–ProducingEscherichia coliIsolates from Healthy Food-Producing Animals in Tunisia,,10.1089/fpd.2012.1267,True,Prevalence and Characterization of Extended-Spectrum Beta-Lactamase _ESBL__ and CMY-2_ProducingEscherichia coliIsolates from Healthy Food-Producing Animals in Tunisia.pdf,2012,,Mary Ann Liebert Inc,True,SciHub,Rym Ben Sallem and Karim Ben Slama and Yolanda S{\'{a}}enz and Beatriz Rojo-Bezares and Vanesa Estepa and Ahlem Jouini and Haythem Gharsa and Naouel Klibi and Abdellatif Boudabous and Carmen Torres
"Differences in Virulence Genes and Genome Patterns of Mastitis-AssociatedStaphylococcus aureusAmong Goat, Cow, and Human Isolates in Taiwan",,10.1089/fpd.2012.1278,True,Differences in Virulence Genes and Genome Patterns of Mastitis-AssociatedStaphylococcus aureusAmong Goat_ Cow_ and Human Isolates in Taiwan.pdf,2013,,Mary Ann Liebert Inc,True,SciHub,Chishih Chu and Yajiun Wei and Shih-Te Chuang and Changyou Yu and Chih-Hsuan Changchien and Yaochi Su
Unique Class 1 Integron and Multiple Resistance Genes Co-located on IncHI2 Plasmid Is Associated with the Emerging Multidrug Resistance of Salmonella Indiana Isolated from Chicken in China,,10.1089/fpd.2012.1455,True,,2013,,Mary Ann Liebert Inc,False,,Jing Lai and Yang Wang and Jianzhong Shen and Ruichao Li and Jing Han and Steven L. Foley and Congming Wu
Coagulase-Positive Staphylococci Isolated from Chicken Meat: Pathogenic Potential and Vancomycin Resistance,,10.1089/fpd.2013.1492,True,Coagulase-Positive Staphylococci Isolated from Chicken Meat_ Pathogenic Potential and Vancomycin Resistance.pdf,2013,,Mary Ann Liebert Inc,True,SciHub,Paula Dalcin Martins and Taiana Trindade de Almeida and Ana Paula Basso and Tiane Martin de Moura and Jeverson Frazzon and Eduardo C{\'{e}}sar Tondo and Ana Paula Guedes Frazzon
"Enumeration and Characterization of Salmonella Isolates from Retail Chicken Carcasses in Beijing, China",,10.1089/fpd.2013.1586,True,Enumeration and Characterization of Salmonella Isolates from Retail Chicken Carcasses in Beijing_ China.pdf,2014,,Mary Ann Liebert Inc,True,SciHub,Yeru Wang and Qian Chen and Shenghui Cui and Xiao Xu and Jianghui Zhu and Haipeng Luo and Di Wang and Fengqin Li
"Antimicrobial Susceptibility and Molecular Typing of Methicillin-ResistantStaphylococcus aureusin Retail Foods in Shaanxi, China",,10.1089/fpd.2013.1643,True,Antimicrobial Susceptibility and Molecular Typing of Methicillin-ResistantStaphylococcus aureusin Retail Foods in Shaanxi_ China.pdf,2014,,Mary Ann Liebert Inc,True,SciHub,Xin Wang and Guanghui Li and Xiaodong Xia and Baowei Yang and Meili Xi and Jianghong Meng
"Enumeration and Characterization ofCampylobacterSpecies from Retail Chicken Carcasses in Beijing, China",,10.1089/fpd.2014.1785,True,Enumeration and Characterization ofCampylobacterSpecies from Retail Chicken Carcasses in Beijing_ China.pdf,2014,,Mary Ann Liebert Inc,True,SciHub,Yao Bai and Shenghui Cui and Xiao Xu and Fengqin Li
Emergence of β-Lactamases and Extended-Spectrum β-Lactamases (ESBLs) Producing Salmonella in Retail Raw Chicken in China,,10.1089/fpd.2014.1859,True,Emergence of β-Lactamases and Extended-Spectrum β-Lactamases _ESBLs_ Producing Salmonella in Retail Raw Chicken in China.pdf,2015,,Mary Ann Liebert Inc,True,SciHub,Haiyun Wu and Yin Wang and Yun Wu and Jing Qiao and Hao Li and Shujuan Zheng and Xiaodong Xia and Shenghui Cui and Xin Wang and Meili Xi and Jianghong Meng and Baowei Yang
"Genetic Relatedness Among Escherichia coli Pathotypes Isolated from Food Products for Human Consumption in Cartagena, Colombia",,10.1089/fpd.2014.1881,True,Genetic Relatedness Among Escherichia coli Pathotypes Isolated from Food Products for Human Consumption in Cartagena_ Colombia.pdf,2015,,Mary Ann Liebert Inc,True,SciHub,Zorangel Am{\'{e}}zquita-Montes and Maria Tamborski and Usa G. Kopsombut and Chengxian Zhang and Octavio S. Arzuza and Oscar G. G{\'{o}}mez-Duarte
Prevalence and Antimicrobial Resistance Profile of Staphylococcus Species in Chicken and Beef Raw Meat in Egypt,,10.1089/fpd.2014.1882,True,Prevalence and Antimicrobial Resistance Profile of Staphylococcus Species in Chicken and Beef Raw Meat in Egypt.pdf,2015,,Mary Ann Liebert Inc,True,SciHub,Kamelia M. Osman and Aziza M. Amer and Jihan M. Badr and Aalaa S.A. Saad
"Evaluation of the Antibiotic Resistance and Virulence of Escherichia coli Strains Isolated from Chicken Carcasses in 2007 and 2013 from Paraná, Brazil",,10.1089/fpd.2014.1888,True,Evaluation of the Antibiotic Resistance and Virulence of Escherichia coli Strains Isolated from Chicken Carcasses in 2007 and 2013 from Paraná_ Brazil.pdf,2015,,Mary Ann Liebert Inc,True,SciHub,Vanessa L. Koga and Gabriela R. Rodrigues and Sara Scandorieiro and Eliana C. Vespero and Alexandre Oba and Benito G. de Brito and Kelly C.T. de Brito and Gerson Nakazato and Renata K.T. Kobayashi
"Distribution of the Multidrug Resistance GenecfrinStaphylococcusIsolates from Pigs, Workers, and the Environment of a Hog Market and a Slaughterhouse in Guangzhou, China",,10.1089/fpd.2014.1891,True,Distribution of the Multidrug Resistance GenecfrinStaphylococcusIsolates from Pigs_ Workers_ and the Environment of a Hog Market and a Slaughterhouse in Guangzhou_ China.pdf,2015,,Mary Ann Liebert Inc,True,SciHub,Jing Wang and Da-Chuan Lin and Xiao-Mu Guo and Hong-Kun Wei and Xiao-Qin Liu and Xiao-Jie Chen and Jian-Ying Guo and Zhen-Ling Zeng and Jian{\textendash}Hua Liu
Characterization of Staphylococcus aureus from Raw Meat Samples in Tunisia: Detection of Clonal Lineage ST398 from the African Continent,,10.1089/fpd.2015.1958,True,Characterization of Staphylococcus aureus from Raw Meat Samples in Tunisia_ Detection of Clonal Lineage ST398 from the African Continent.pdf,2015,,Mary Ann Liebert Inc,True,SciHub,Sarra Chairat and Haythem Gharsa and Carmen Lozano and Elena G{\'{o}}mez-Sanz and Paula G{\'{o}}mez and Myriam Zarazaga and Abdellatif Boudabous and Carmen Torres and Karim Ben Slama
EnterotoxigenicEscherichia coliSubclinical Infection in Pigs: Bacteriological and Genotypic Characterization and Antimicrobial Resistance Profiles,,10.1089/fpd.2015.1959,True,EnterotoxigenicEscherichia coliSubclinical Infection in Pigs_ Bacteriological and Genotypic Characterization and Antimicrobial Resistance Profiles.pdf,2015,,Mary Ann Liebert Inc,True,SciHub,Fabiana A. Moredo and Pablo E. Pi{\~{n}}eyro and Gabriela C. M{\'{a}}rquez and Marcelo Sanz and Roc{\'{\i}}o Colello and Anal{\'{\i}}a Etcheverr{\'{\i}}a and Nora L. Padola and Mar{\'{\i}}a A. Quiroga and Carlos J. Perfumo and Luc{\'{\i}}a Galli and Gerardo A. Leotta
"Prevalence, Molecular Characterization, and Antimicrobial Susceptibility of Methicillin-ResistantStaphylococcus aureusIsolated from Milk and Dairy Products",,10.1089/fpd.2015.2038,True,Prevalence_ Molecular Characterization_ and Antimicrobial Susceptibility of Methicillin-ResistantStaphylococcus aureusIsolated from Milk and Dairy Products.pdf,2016,,Mary Ann Liebert Inc,True,SciHub,Maha Abdou Al-Ashmawy and Khalid Ibrahim Sallam and Samir Mohammed Abd-Elghany and Mohamed Elhadidy and Tomohiro Tamura
Phenotypic and Molecular Aspects ofStaphylococcusspp. Isolated from Hospitalized Patients and Beef in the Brazilian Amazon,,10.1089/fpd.2015.2049,True,Phenotypic and Molecular Aspects ofStaphylococcusspp. Isolated from Hospitalized Patients and Beef in the Brazilian Amazon.pdf,2016,,Mary Ann Liebert Inc,True,SciHub,Fabio A. Pieri and Taise F. Vargas and Newton N. Galv{\~{a}}o and Paulo A. Nogueira and Patr{\'{\i}}cia P. Orlandi
High Prevalence and Properties of Enterotoxin-ProducingStaphylococcus aureusST5 Strains of Food Sources in China,,10.1089/fpd.2015.2085,True,High Prevalence and Properties of Enterotoxin-ProducingStaphylococcus aureusST5 Strains of Food Sources in China.pdf,2016,,Mary Ann Liebert Inc,True,SciHub,Yanzi Chang and Hong Gao and Zhenhua Zhu and Shuo Ye and Yuanbin Yang and Xuanyi Shen and Danyang Zhang and Qifa Song
"Characterization of Virulence-Associated Genes, Antimicrobial Resistance Genes, and Class 1 Integrons inSalmonella entericaserovar Typhimurium Isolates from Chicken Meat and Humans in Egypt",,10.1089/fpd.2015.2097,True,,2016,,Mary Ann Liebert Inc,False,,Heba A. Ahmed and Fatma I. El-Hofy and Saleh M. Shafik and Mahmoud A. Abdelrahman and Gamilat A. Elsaid
Antimicrobial Resistance and Virulence Factors ofEscherichia coliin Cheese Made from Unpasteurized Milk in Three Cities in Brazil,,10.1089/fpd.2015.2106,True,Antimicrobial Resistance and Virulence Factors ofEscherichia coliin Cheese Made from Unpasteurized Milk in Three Cities in Brazil.pdf,2016,,Mary Ann Liebert Inc,True,SciHub,Laryssa Freitas Ribeiro and Mayhara Martins Cordeiro Barbosa and Fernanda de Rezende Pinto and Renato Pariz Maluta and M{\^{o}}nica Costa Oliveira and Viviane de Souza and Maria Izabel Merino de Medeiros and Lucimara Antonio Borges and Luiz Augusto do Amaral and John Morris Fairbrother
CTX-M-15-Type Extended-Spectrum Beta-Lactamase-ProducingEscherichia colias Causative Agent of Bovine Mastitis,,10.1089/fpd.2015.2114,True,CTX-M-15-Type Extended-Spectrum Beta-Lactamase-ProducingEscherichia colias Causative Agent of Bovine Mastitis.pdf,2016,,Mary Ann Liebert Inc,True,SciHub,Faruk Pehlivanoglu and Hulya Turutoglu and Dilek Ozturk
"Antimicrobial Resistance of Campylobacter Species Isolated from Broilers in Live Bird Markets in Shanghai, China",,10.1089/fpd.2016.2186,True,Antimicrobial Resistance of Campylobacter Species Isolated from Broilers in Live Bird Markets in Shanghai_ China.pdf,2017,,Mary Ann Liebert Inc,True,SciHub,Beibei Li and Licai Ma and Yingli Li and Haiyan Jia and Jianchao Wei and Donghua Shao and Ke Liu and Yuanyuan Shi and Yafeng Qiu and Zhiyong Ma
